Display Name,Category,Cost,Image Name,Short description,Long Description
Project Rock 2,UnderArmour,$140.00,UA2,,"UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact step after step
Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in
UA Tribase in the outsole maximizes ground contact where your foot needs it the most, allows for superior upwards flexibility to promote natural motion, & downwards flexibility to grip the ground during lifts
Soft knit upper dries fast & provides a breathable, compression-like fit that delivers lightweight directional strength & unmatched comfort
3D molded midfoot panel provides added structure & support with laser perforations for increased ventilation
Anatomical bootie construction for a snug, comfortable fit
External heel counter combined with stability chassis creates the ultimate in stable support
Full rubber outsole for elevated traction & durability
Offset: 8mm
Weight: 10.9oz.
Imported"
UA Hovr Sonic 2,UnderArmour,$100.00,UA3,,"NEUTRAL: For runners who need flexibility, cushioning & versatility
CONNECTS TO UA MAPMYRUN™: tracks & analyzes your running metrics to help make you a better runner
UA HOVR™ technology provides ‘zero gravity feel’ to maintain energy return that helps eliminate impact step after step
Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in
Microthread upper with tonal, wave-like pattern dries fast & provides a breathable, compression-like fit that delivers lightweight directional strength & unmatched comfort to help you go the distance
Ventilated midfoot panel increases breathability
Unique tongue construction is attached to the footbed by stretchable support wings to maintain a snug fit throughout the foot
External TPU heel counter for additional support & structure
Removable, anti-microbial Ortholite® sockliner molds to the foot for customized comfort & cushion
Blown rubber under the forefoot is lightweight yet incredibly responsive
High-abrasion rubber placed under the heel to help absorb ground contact
Offset: 8mm
Weight: 10 oz.
Imported"
UA HOVR Infinite 2,UnderArmour,$120.00,UA4,,"NEUTRAL: For runners who need flexibility, cushioning & versatility UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in CONNECTS TO UA MAPMYRUN™: tracks & analyzes your running metrics to help make you a better runner Engineered mesh upper is extremely lightweight & breathable, with strategic support where you need it External heel counter for additional support that helps keep the back of the foot locked-in place Die-cut, full-length EVA sockliner molds to the foot, eliminating slippage for ideal underfoot comfort Anatomically placed, deep flex grooves offer proper flexibility in key areas Solid rubber outsole & carbon rubber heel pods for greater traction & durability at high-impact zones Offset: 8mm Weight: 10.8oz Imported"
UA HOVR Sonic 3,UnderArmour,$110.00,UA5,,"NEUTRAL: For runners who need flexibility, cushioning & versatility UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in CONNECTS TO UA MAPMYRUN™: tracks & analyzes your running metrics to help make you a better runner Microthread upper dries fast & provides a breathable, compression-like fit for lightweight strength Tongue is attached to the footbed by stretchable support wings to maintain a snug fit throughout the foot External TPU heel counter for additional support & structure Removable, anti-microbial Ortholite® sockliner molds to the foot for customized comfort & cushion Blown rubber under the forefoot & high-abrasion rubber under the heel to help absorb ground contact Offset: 8mm Weight: 10.2oz "
UA HOVR Summit,UnderArmour,$130.00,UA6,,"UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in Lightweight, breathable upper with durable synthetic overlays EVA sockliner provides excellent cushioning & a responsive feel Solid rubber outsole with deep flex grooves for durability & flexibility where you need it Carbon rubber pods under the heel deliver greater traction & durability at high-impact strike zones Imported"
UA Anatomix Spawn 2,UnderArmour,$100.00,UA7,,Interwoven molded layers of TPU films & PU coated mesh for multi-layer support in an anatomical design Exposed mesh areas for superior breathability & flexibility Additional padding around tongue & collar for complete comfort Die-cut EVA sockliner provides underfoot cushioning & support Full-length Micro G® foam midsole turns cushioned landings into explosive takeoffs Lateral TPU plate provides added support & stability Anatomical outsole pattern for superior traction & flexibility Rounded outsole design promotes quick movements & change of direction Weight: 12 oz. Imported 
UA HOVR Apex,UnderArmour,$140.00,UA8,,"UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact step after step Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in Lightweight mesh upper with 3D print for unrivaled protection & durability Layered support system locks in your heel, unlocking your foot's forward, backward & side-to-side potential Heel construction provides superior support, which unlocks forefoot movement & stabilizing potential Webbed lacing system is integrated through TPU straps for the ultimate locked-in fit UA Tribase in the outsole maximizes ground contact where your foot needs it the most, allows for superior upwards flexibility to promote natural motion, & downwards flexibility to grip the ground during lifts Offset: 8mm Weight: 13 oz. 87% Polyester/13% Elastane Imported"
UA HOVR Phanthom RN,UnderArmour,$140.00,UA9,,"NEUTRAL: For runners who need a balance of flexibility & cushioning CONNECTS TO UA MAPMYRUN™: tracks & analyzes your running metrics to help make you a better runner UA HOVR™ technology provides ‘zero gravity feel’ to maintain energy return that helps eliminate impact step after step Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in Soft knit upper dries fast & provides a breathable, compression-like fit that delivers lightweight directional strength & unmatched comfort 3D molded midfoot panel with laser perforations for increased ventilation Knit ankle collar provides a snug, bootie-like fit External heel counter creates the ultimate in stable support Ultra-breathable, SpeedForm® 2.0 sockliner is built into the shoe with gender specific contours for extra protection & softer underfoot support Full rubber outsole features unique knobbed texture for elevated traction & durability Chip is secured in watertight casing in the shoe’s midsole so it won’t get wet or damaged Offset: 8mm Weight: 10.10oz Imported "
UA HOVR Rise,UnderArmour,$100.00,UA10,,"UA HOVR™ technology provides 'zero gravity feel' to maintain energy return that helps eliminate impact step after step Compression mesh Energy Web contains & molds UA HOVR™ foam to give back the energy you put in Lightweight, abrasion-resistant mesh upper with 3D print for maximum durability & breathability that can withstand any workout Overlapping films & dual-external heel counter hug your foot for added stability Full rubber outsole to enhance multi-directional traction & durability Offset: 8mm Weight: 10.6 oz. Imported "
Epic Hoodie,Epic Wins,$40.00,Hoodie,,
Epic Shirt,Epic Wins,$20.00,Shirt,,
Epic Phonecase,Epic Wins,$10.00,Phonecase,,
Epic Socks,Epic Wins,$5.00,Socks,,
Epic Sweatshirt,Epic Wins,$25.00,Sweatshirt,,
Coleman Highline,Camping/Hiking,$89.00,Coleman Highline,4 person dome tent,"Simplify family camping with the Coleman Highline 4-Person Dome Tent. This tent is perfect for your next outdoor adventure, featuring pre-attached poles and the patented pin-and-ring system, making for easy assembly in ten minutes or less. The WeatherTec™ system and sturdy frame keep you snug and dry in the case of inclement weather, while the included rainfly and door awning provide extra protection.   DESIGN Dome-style tent 4-person design Can fit (1) queen airbed Sets up in about 10 minutes Frame can withstand up to 35+ mph winds Continuous pole sleeves and slip-proof pin and ring system Storage pockets provide organization TECHNOLOGY WeatherTec™ system welded floors and inverted seams Insta-clip suspension easily secures tent to poles SPECS Dimensions: 9’ x 7’ Additional Details Rainfly, door awning, and carry bag included Manufacturer’s 1-year limited warranty Brand : Coleman Country of Origin : United States of America or Imported"
Field & Stream Cross Vent,Camping/Hiking,$200.00,Field & Stream Cross Vent,8 person tent,"Camp out comfortably with the Field & Stream® Cross Vent Tent. Built with a durable, freestanding frame, this tent can fit up to two queen sized air mattresses. This tent has a four window system with awnings and a mesh room to provide maximum air ventilation. The corner storage pockets and integrated electronics port give you convenient access to important items, and the included carrying bag makes transport simple.  DESIGN Sleeps 8 Freestanding, four-pole design gives extra headroom Accommodates up to two queen mattresses Mesh-style ceiling provides durability with ventilation One D-style door with four windows with awnings Corner storage pockets store valuables and other accessories Materials: 68D polyester-taffeta wall, PE sheet floor Zippered duffel carry bag TECHNOLOGY Integrated electronics port for easy power cord access Welded, element-protect bottom prevents water leakage Shock-corded and color-coded fiberglass poles SPECS Dimensions: 14’ x 8’ Floor area: 112 sq. ft. Peak height: 74” Additional Details Includes 800mm polyester fly with taped seams Includes (4) pre-attached guylines Style: CEH02142  WARNING:KEEP ALL FLAME AND HEAT SOURCES AWAY FROM THIS TENT FABRIC This tent meets the flammability requirements of CPAI-84. It is not fireproof. The tent fabric will burn if left in continuous contact with any flame source. The application of any foreign substance to this fabric of this tent may render the flame resistant properties ineffective.EXTREME CAUTION: Never use any fuel burning oxygen consuming devices that produce any fumes, including stoves, lanterns, candles, hibachis or heaters in or around your tent. This could result in carbon monoxide poisoning, injury and/or death.  WARNING: This product can expose you to Tris(1,3-dichloro-2-propyl) phosphate (TDCPP), which is known to the state of California to cause cancer. For more information go to www.P65warnings.ca.gov. Brand : Field & Stream Country of Origin : Imported"
Field & Stream Fairbanks,Camping/Hiking,$139.00,Field & Stream Fairbanks,20 degree sleeping bag ,"The Field & Stream® Fairbanks Sleeping Bag keeps you comfortable for cold weather camping. An impressive -20° temperature rating with a double layer construction, this bag eliminates colds spots and is ideal for outdoor adventures in the spring, fall and winter. You’ll enjoy the comfort collar and hood to block out cold bitter, air on winter nights. This bag boasts a zip pocket on the front for stashing your cell phone overnight.  FEATURES:  Temperature rating: -20° Seasons: 3 Designed for cold weather camping Semi-rectangular shape Double layer construction eliminates cold spots Comfort collar helps block out airflow Adjustable hood keeps the heat in for comfort and warmth Small zipper pocket on the front for cell phone or other small accessory storage 1” webbing straps with buckles for easy storage Field & Stream® limited warranty Model # CEH01264   SPECS:  Insulation: four hole polyester Outer shell: canvas Lining: tetra cotton Fill weight: 7.6 lbs. Carry weight: 13.69 lbs. Max user height: 7’6” Dimensions: 90"" x 40"" Brand : Field & Stream Country of Origin : United States of America or Imported"
Field & Stream Sportsman,Camping/Hiking,$40.00,Field & Stream Sportsman,30 degree sleeping bag,"Slip into slumber under the stars in the Field & Stream® Sportsman Sleeping Bag. Built for mild-weather camping, this bag provides a mummy shape to keep you snuggled in for extra warmth. The footbox helps keep your feet in a natural, comfortable sleeping position, while the double layer design eliminates cold spots and the adjustable hood locks in the heat. Sleep tight from the backyard to the campsite with this Field & Stream® bag.  FEATURES:  Temperature rating: 30° Seasons: 3 Designed for mild weather camping Mummy shape Double layer offset construction keeps the warmth in while eliminating cold spots Contoured, adjustable hood locks in the heat Articulated footbox keeps feet in their natural sleeping position Anti-snag zipper taping Interior hook-and-loop storage pocket Carry bag included for easy storage and transport Field & Stream® limited warranty   SPECS:  Insulation: polyester Outer shell: polyester Lining: polyester Fill weight: 2.5 lbs. Carry weight: 3.3 lbs. Max user height: 6’10” Dimensions: 84"" x 33"" x 24"" Brand : Field & Stream Country of Origin : United States of America or Imported"
Coleman Trailhead II,Camping/Hiking,$50.00,Coleman Trailhead II,Camp Cot,"The Trailhead™ II Cot by Coleman® gets the job done season after season. Designed with a durable steel X construction, this cot features a military-inspired, extra-wide frame for comfortable, easy accommodations. Multiple pockets along the side of the cot allows small item storage while you’re at the campsite, while the carry bag makes storage and transportation a breeze!  FEATURES: Designed for outdoor use at the campground, field or backyard Rugged military style with Realtree Xtra™ camo design Durable, steel X frame construction Extra-wide design for easy accommodations Multiple side pockets for small accessory storage Includes carry bag for easy travels Manufacturer’s one-year limited warranty   SPECS: Dimensions: 75” x 35” x 17” Maximum height capacity: 6’2” Maximum weight capacity: 300 lbs. Brand : Coleman Country of Origin : Imported"
Coleman River Gorge Ez,Camping/Hiking,$75.00,Coleman River Gorge Ez,Sleep Cot,"Convenient, reliable and easy to pack, the Coleman® River Gorge EZ Cot delivers a good night of sleep. A military style design and steel X-frame boast heavy-duty durability, while the foot pedal locks in the legs of your cot for a reliable slumber at the campsite. You’ll find the shelf and mesh pouch convenient for keeping your water bottle close by, and stashing small accessories like your phone, keys or flashlight.  FEATURES:  Best use: sleeping at the campground, cabin, or at home Foot pedal locks in legs for reliable use Steel X-frame provides durability Military style Fold-up shelf with mesh water bottle holder Shelf keeps small gear or accessories off the ground Mesh pouch hangs to the side for additional small item stashing Heavy-duty, rugged construction Fold-up design Includes a storage bag with a shoulder strap for easy travels One-year manufacturer’s warranty   SPECS:  Dimensions: 75”x 30”x17” Fits height up to 6’2” Maximum weight capacity: 300 lbs. Brand : Coleman Country of Origin : Imported"
Field & Stream Cozy Buffalo Sherpa,Camping/Hiking,$25.00,Field & Stream Cozy Buffalo Sherpa,Cozy blanket,"Curl up next to the fireplace with the Field & Stream® Cozy Buffalo Sherpa Blanket. This blanket is warm and durable, featuring super-soft Sherpa material that will keep you cozy all winter.  Design Dimensions: 50” x 60” Warm and durable construction Super-soft Sherpa material for a cozy feel Brand : Field & Stream Country of Origin : Imported Fabric : 100% polyester"
Field & Stream Cozy Plaid Sherpa Blanket,Camping/Hiking,$25.00,Field & Stream Cozy Plaid Sherpa Blanket,Cozy blanket,"Product Information Curl up next to the fireplace with the Field & Stream® Cozy Plaid Sherpa Blanket. This blanket is warm and durable, featuring super-soft Sherpa material that will keep you cozy all winter.  Design Dimensions: 50” x 60” Warm and durable construction Super-soft Sherpa material for a cozy feel Brand : Field & Stream Country of Origin : Imported Fabric : 100% polyester"
Intex Comfort Plush,Camping/Hiking,$79.00,Intex Comfort Plush,Queen Airbed with built in pump,"Getting a good night’s sleep is quick and easy with the Intex Comfort Plush Queen with Built-In Pump. This comfortable, durable air mattress gives plenty of room to get cozy, featuring a flocked top and sides and a sturdy vinyl bottom. The integrated AC electric pump inflates the bed in just about 4 and a half minutes, letting you set up and get to sleep quicker.  DESIGN Queen air mattress with built-in pump Comfort Plush design Flocked top and sides are quality tested Vinyl bottom for durability Fiber-Tech Construction AC electric built-in pump inflates in 4.5 minutes SPECS Dimensions: 60” x 80” x 22” Additional Details Style: 64417EP   Brand : Intex"
Field & Stream Incline Mattress,Camping/Hiking,$60.00,Field & Stream Incline Mattress,Foam mattress,"Give yourself a comfortable place to sleep wherever you go with the Field & Stream Incline Foam Mattress. This mattress provides 5 centimeters of comfortable foam padding, as well as an adjustable backrest, so you can find the most comfortable sleeping position possible. It features a sturdy steel frame for durability and security while in use. Holds up to 225 pounds.  FEATURES: 5 cm. thick padding and adjustable backrest add comfort Constructed of 400D polyester with PU coating Sturdy 13mm steel tube frame with powder coating provides strength and stability Velcro straps add convenience Folds up for easy storage and transport Dimensions: 72.76” x 34.86” x 2.1” Capacity: 225 lbs. Style: CEH01951 WARNING: This product can expose you to chemicals including Tris(1,3-dichloro-2-propyl) Phosphate (TDCPP), which is known to the State of California to cause cancer. For more information go to www.P65warnings.ca.gov Brand : Field & Stream Country of Origin : Imported"
Dallas Cowboys Game Jersey Ezekiel Elliott,Cowboys,$100.00,Dallas Cowboys Game Jersey Ezekiel Elliott,Dallas Cowboy's Elliott #21 Jersey,"Power through the line and lead your team to gridiron glory with the Nike® Dallas Cowboys Ezekiel Elliott #21 Game Jersey.   Lightweight, Athletic-Fit  Contoured, tailored look  Strategic, mesh-ventilation side panels  Tagless neck label   Screen-Printed Name and Numbers  Laser cut satin twill jock tag  TPU, metallic-effect NFL Shield   Additional Details  Machine washable, cold  Fabric: 100% polyester  Officially licensed by the NFL  Nike Brand : Nike Country of Origin : Imported"
Dallas Cowboys Basic Cuff,Cowboys,$15.00,Dallas Cowboys Basic Cuff,Dallas Cowboy's Cuff Winter Knit Hat,Combat the cold and keep your head and ears in the game with the Dallas Cowboys Merchandising® Basic Cuff Knit.  Cuffed Winter Knit Hat  Fold-up cuff and stretch-fit  Embroidered Team Logo  Cowboys Star stitched on the front  Additional Details  Officially licensed by the NFL Brand : Dallas Cowboys Country of Origin : Imported
Dallas Cowboys Sideline 1960 ,Cowboys,$33.00,Dallas Cowboys Sideline 1960 ,Dallas Cowboy's Stretch Fit Hat,"Showcase a true home-grown Cowboys look with the stylish New Era® Dallas Cowboys Sideline 1960 Home 39Thirty® Stretch Fit Hat.  Curved Brim, Stretch-Fit Cap Six-panel construction with ventilation eyelets and button top Moisture-absorbing sweatband Raised, Embroidered Team Graphics Script team wordmark embroidered on the crown Team logo and establishment date on the side NFL Shield on the back Additional Details Officially licensed by the NFL Brand : New Era Fabric : 100% polyester"
Dallas Cowboy's Drinkware 4 Pack Set,Cowboys,$34.00,Dallas Cowboy's Drinkware 4 Pack Set,Dallas Cowboy 4 pack drinkware set,Cheers to your favorite team with the Memory Company® Dallas Cowboys 4 Pack Drinkware Set.  Team Spirit Features team logo Designed in team colors Additional Details Dishwasher Safe 4 glasses included Officially licensed by the NFL Brand : The Memory Company
Dallas Cowboys Duece Socks ,Cowboys,$15.00,Dallas Cowboys Duece Socks ,Dallas Cowboy Socks,"Show your pride on your feet for your favorite team with the For Bare Feet® Dallas Cowboys Four Stripe Deuce Socks.  Four Stripe Deuce Socks Terry loop in forefoot, heel, and toe provides medium cushion Elastic arch support Reinforced heel and toe Seamless toe closure Team Spirit Features team logo Designed in team colors Additional Details Machine wash in 104°F Avoid bleaching or ironing Socks will last longer if you keep them out of the dryer Officially licensed by the NFL Brand : For Bare Feet"
Bear Archery Vast RTH Compound Bow Package,Hunting Gear,$350.00,Bear Archery Vast RTH Compound Bow Package,,"Designed for beginner and experience archers alike, the Vast RTH Compound Bow Package features everything you need to hunt, including the Vast Compound Bow with adjustable draw length and draw weight. In addition, the Vast Compound Bow has a comfortable let-off for steady aim and a lightweight, compact design. The Bear Archery® Vast RTH Compound Bow Package includes a 4-pin sight, whisker biscuit, arrow quiver, stabilizer and sling, peep sight and nock loop.
** Learn more about THE PROS Archery Services available at all DICK'S Sporting Goods locations **
FEATURES:
Designed for beginner and experienced archers and bowhunters
Adjustable draw length range and draw weight range
Comfortable let-off helps you hold steady at full draw
Lightweight and compact for portability and maneuverabilityINCLUDES:
Joker 4 four-pin sight
Green Quick Shot Whisker Biscuit
5 spot arrow quiver
Blitz stabilizer and sling
Peep sight
Nock loop"
Walker's Game Ear Youth and Baby Protective Folding Earmuffs,Hunting Gear,$15.00,Muffs,,"Keep your child’s ears protected from loud, startling sounds like planes, fireworks, and shouts with the Youth and Baby Protective Folding Earmuffs. These earmuffs are designed for children between the ages of 6 months and 8 years old. They’re ultra-lightweight and comfortable with a padded headband and soft foam ear pads. Take good care of your young one’s hearing with the Walker’s Game Ear® Youth and Baby Protective Folding Earmuffs.
FEATURES:Small earmuffs designed for ages 6 months to 8 years
Designed to suppress loud noises without shutting out softer sounds like parent’s voices
Noise Reduction Rating: 23 dB
Soft foam ear pads
Padded and adjustable headband
Ultra-lightweight folding design
Low profile
Model: GWP-FKDM
Walker’s Game Ear"
Remington Squeeg-E Universal Gun Cleaning Kit,Hunting Gear,$80.00,Clean,,"Cleaning your weapon means keeping it accurate, reliable and long lasting. The Squeeg-E Universal Gun Cleaning Kit comes equipped with all of the tools that you need to service almost any firearm, including multiple Squeeg-Es, brushes and cleaner. The wide array of cleaning supplies packs conveniently away in a green canvas range bag. The Remington® Squeeg-E Universal Gun Cleaning Kit includes a shoulder strap on the bag for easy carry.  FEATURES:  Cleans almost any firearm Packed in a green canvas range bag Shoulder strap for easy carry Model: 17096 Remington   KIT INCLUDES:  3 x Rem® Flex Rod Cables (Rifle, Shotgun, Pistol/Revolver) Patented Fast Snap T-Handle .22/.223/5.56mm Rem Squeeg-E .243 Rem Squeeg-E .270/7mm Rem Squeeg-E .308/7.62mm Rem Squeeg-E 9mm/.380/.357 Rem Squeeg-E .40/10mm Rem Squeeg-E .44/.45 Rem Squeeg-E .50/.410 Rem Squeeg-E 20GA/28GA Rem Squeeg-E 12GA/16GA Rem Squeeg-E 10 x Matching Bronze Bore Brushes Threaded Revolver Adapter Large thread adapter Nylon and Brass Hand Brushes (1 each) Yellow Gun Cloth Medium Rem Pad Gun Cleaning Mat (12"" x 28"") Rem All In Bore Cleaner (0.5 fl oz) Rem Oil (1.0 fl oz) Range Bag with Shoulder Strap Instruction Sheet Brand : Remington Country of Origin : Imported"
Champion BioBird Clay Targets,Hunting Gear,$10.00,Clay,,Enjoy your target shoot with the Champion® BioBird™ Clay Targets. These targets are made of natural materials to replace petroleum based regular clay targets with a naturally occurring forestry product and limestone. You’ll still get the same great performance with these true flying targets that break with smoke and a solid hit. You’ll love the quality of the Champion® BioBird™ Clay Targets.  FEATURES: Made of natural forestry products and limestone Will not increase soil acidity levels Competitive break quality Non-hazardous Brand : Champion Traps & Targets Country of Origin : United States of America
Field & Stream Black Shield Range Bag,Hunting Gear,$50.00,Bags,,Carry everything you need in comfort with the Field & Stream® Black Shield Range Bag. Simply unzip a front pocket for easy access to magazines while at the range.  FEATURES: Thick padding through out the bag Spacious zippered main compartment Side zippered storage pockets Front zippered pocket with handgun magazine holders Front molle webbing attachment points Padded grab handle Padded shoulder strap Weight Capacity: 19 Internal Height: 12 Internal Width: 11 Internal Depth: 3 Brand : Field & Stream Country of Origin : Imported
Caldwell Dead Shot Front/Rear Combo Shooting Rests,Hunting Gear,$35.00,Rests,,Quality and function is what every hunter and shooter deserves. The Caldwell® Dead Shot Shooting Rests are perfect for any place at any time. These rests are water resistant and constructed of durable 600 Denier polyester. The front shooting bag is the largest (approx. 8 lbs.) on the market. The Dead Shot Combo Shooting Rests are easy to transport with the quick connect feature so you can clip them together and go.  FEATURES:  Versatile shooting rests work on just about any surface Water resistant and durable 600 Denier polyester construction The front bag is the largest shooting bag on the market at about 8 pounds Easy transport with quick connect feature Dimensions for front bag: 10” wide x 8 1/2” high x 6” deep Model: 939333 Caldwell Brand : Caldwell Country of Origin : Imported
